title,file,guest,challenge,link
"#250: Q&A – 3-Year Prediction, Major Regrets, & Morning Routine",_250__Q_A___3-Year_Prediction__Major_Regrets____Morning_Routine.txt,"I cannot determine the specific guest featured in this particular episode, as the provided context does not mention any guest's name.","There isn't a specific challenge mentioned in this episode. However, you can take inspiration from the lessons and tips shared, such as persisting through peaks and valleys, being thoughtful and energetic, and continuously working on improving your skills. If you're a podcaster or interested in starting a podcast, you can apply the tips shared for conducting better interviews and growing your podcast.",https://podcasters.spotify.com/pod/show/dannymiranda/episodes/250-QA--3-Year-Prediction--Major-Regrets---Morning-Routine-e1n5l1c
#001: Tej Dosa – Turning -$67 Into 6-7 Figure Businesses,_001__Tej_Dosa___Turning_-_67_Into_6-7_Figure_Businesses.txt,The guest featured in this particular episode is Tej Dosa.,"In this context, it is not clear what specific challenge is being discussed in the episode. The conversation touches on various topics such as entrepreneurial struggles, Tej's journey doing 75 Hard, and a story about getting free tickets from UFC President Dana White. However, the 75 Hard challenge could be the challenge mentioned, which is a mental toughness program that involves following a strict set of rules for 75 days, including daily workouts, diet, and personal development tasks.",https://podcasters.spotify.com/pod/show/dannymiranda/episodes/001-Tej-Dosa--Turning--67-Into-6-7-Figure-Businesses-e1io21e
"#083: Dan Koe – Awareness, Twitter & Routines",_083__Dan_Koe___Awareness__Twitter___Routines.txt,The guest featured in this episode is Dan Coe.,"In this episode, the challenge is to practice iteration and awareness in your life. This means continuously making changes to improve and becoming more aware of your surroundings, actions, and life in general. By embracing this philosophy, you can work towards a more fulfilling life and personal growth.",https://podcasters.spotify.com/pod/show/dannymiranda/episodes/083-Dan-Koe--Awareness--Twitter--Routines-e1io215
"#260: Andrew Murnane – Creating Online, Questioning Everything, & Letting Go",_260__Andrew_Murnane___Creating_Online__Questioning_Everything____Letting_Go.txt,The guest featured in this particular episode is Andrew.,"The challenge from this episode is to ""question everything."" This means to question everything that comes up about what you think you are, what you think reality is, and to keep questioning it endlessly.",https://podcasters.spotify.com/pod/show/dannymiranda/episodes/260-Andrew-Murnane--Creating-Online--Questioning-Everything---Letting-Go-e1p0bd7
#324: Kevin Espiritu – From Zero to 3.6 Million Followers Building The World's Largest Gardening Media Company,_324__Kevin_Espiritu___From_Zero_to_3.6_Million_Followers_Building_The_World_s_Largest_Gardening_Media_Company.txt,"The guest featured in this particular episode is Kevin Espiritu, the creator of Epic Gardening.","I'm sorry, but the challenge from this episode is not explicitly mentioned in the provided context.",https://podcasters.spotify.com/pod/show/dannymiranda/episodes/324-Kevin-Espiritu--From-Zero-to-3-6-Million-Followers-Building-The-Worlds-Largest-Gardening-Media-Company-e1vpouk
#295: 16 Lessons From 2022 (& Plans For 2023),_022__Chris_Elamri___The_Spiritual_Journey.txt,The guest featured in this particular episode is Chris Elamry.,"I'm sorry, but I cannot provide a specific challenge from this episode as the provided context does not mention a particular challenge. The conversation seems to revolve around personal growth, entrepreneurship, and spirituality, but no specific challenge is mentioned.",https://podcasters.spotify.com/pod/show/dannymiranda/episodes/295-16-Lessons-From-2022--Plans-For-2023-e1ssgru
"#017: Daniel Bourke – Creating, Writing, & The Future",_017__Daniel_Bourke___Creating__Writing____The_Future.txt,The guest featured in this particular episode is Daniel Bork.,"There isn't a specific challenge mentioned in the provided context from this episode. However, one possible challenge that can be derived from the conversation is to work on not taking yourself too seriously and being open to feedback and improvement. Another challenge could be to practice following up on opportunities and expressing gratitude when someone offers help or guidance.",https://podcasters.spotify.com/pod/show/dannymiranda/episodes/017-Daniel-Bourke--Creating--Writing---The-Future-e1io229
"#268: Jack Raines – Meeting His Heroes, Losing $150,000 (In A Day), & Internet Dopamine",_150__Jim_O_Shaughnessy___How_To_Stay_Curious.txt,The guest featured in this particular episode is Jim O'Shaughnessy.,"There isn't a specific challenge mentioned in the provided context from this episode. However, some lessons and ideas that can be taken from the conversation include being persistent, asking questions, being open to learning, and not romanticizing the past. You could create a personal challenge based on these ideas, such as practicing persistence in your goals or asking more questions to learn and grow.",https://podcasters.spotify.com/pod/show/dannymiranda/episodes/268-Jack-Raines--Meeting-His-Heroes--Losing-150-000-In-A-Day---Internet-Dopamine-e1prgjo
"#333: Harley Finkelstein – Shopify President On Mentorship, Anxiety, Loss, MrBeast, & Storytelling",_333__Harley_Finkelstein___Shopify_President_On_Mentorship__Anxiety__Loss__MrBeast____Storytelling.txt,"The guest featured in this particular episode is Harley Finkelstein, the president of Shopify.","The challenge from this episode is: If you have an idea that comes up in your mind at least ten times in the next four weeks, do something with it. It doesn't have to be a Shopify store or anything specific, just take action on that idea and see where it leads you.",https://podcasters.spotify.com/pod/show/dannymiranda/episodes/333-Harley-Finkelstein--Shopify-President-On-Mentorship--Anxiety--Loss--MrBeast---Storytelling-e211689
#315: John Coogan – Why Does The Media Hate Tech?,_315__John_Coogan___Why_Does_The_Media_Hate_Tech_.txt,The guest featured in this particular episode is John Coogan.,"The challenge from this episode is to record a five-minute video of yourself and post it online. This could be a good experience for most people to do, as it pushes them out of their comfort zone and helps them grow.",https://podcasters.spotify.com/pod/show/dannymiranda/episodes/315-John-Coogan--Why-Does-The-Media-Hate-Tech-e1ul3ro
#313: Cole Hastings – The Truth About YouTube Stardom,_313__Cole_Hastings___The_Truth_About_YouTube_Stardom.txt,The guest featured in the episode discussing the challenge of boosting testosterone in two weeks is Cole Hastings.,The challenge mentioned in this episode is about trying to boost testosterone in two weeks. The speaker filmed the whole process of attempting to increase their testosterone levels and created a story out of the filming process for the video.,https://podcasters.spotify.com/pod/show/dannymiranda/episodes/313-Cole-Hastings--The-Truth-About-YouTube-Stardom-e1uh8oe
"#189: Sahil Lavingia – Being At Peace, Predicting The Future & Crypto",_189__Sahil_Lavingia___Being_At_Peace__Predicting_The_Future___Crypto.txt,"The guest featured in this particular episode is Sahil, the CEO of Gumroad.","The challenge from this episode is not explicitly mentioned, but it can be inferred as reevaluating the mindset of pursuing billion-dollar companies as the ultimate goal. Instead, the focus should be on building sustainable, meaningful businesses that provide value and have a positive impact on society. This challenge encourages entrepreneurs to question the traditional ideas of success and consider alternative paths to achieving their goals.",https://podcasters.spotify.com/pod/show/dannymiranda/episodes/189-Sahil-Lavingia--Being-At-Peace--Predicting-The-Future--Crypto-e1io243
#166: Mike Maples Jr. – Why The Robots Are Not Going To Eat Your Job,_166__Mike_Maples_Jr.___Why_The_Robots_Are_Not_Going_To_Eat_Your_Job.txt,I don't know the specific guest featured in the episode you are referring to. The context provided does not mention a specific guest or episode.,"The challenge from this episode is to find a creative solution to a problem that threatens the survival of a business. In this case, the problem was that they couldn't charge more than a million dollars on a credit card to buy books, which would put their business at risk. The team had to come up with a creative solution to overcome this obstacle and continue serving their customers.",https://podcasters.spotify.com/pod/show/dannymiranda/episodes/166-Mike-Maples-Jr---Why-The-Robots-Are-Not-Going-To-Eat-Your-Job-e1io24h
#348: Joe Hudson – You Can Have Ambition And Peace,_348__Joe_Hudson___You_Can_Have_Ambition_And_Peace.txt,The guest featured in this particular episode is Joe Hudson.,"The challenge from this episode is for listeners to practice asking for help or asking for what they want cleanly. Many creators and entrepreneurs struggle with this, so the challenge encourages them to improve their communication and be more direct in expressing their needs.",https://podcasters.spotify.com/pod/show/dannymiranda/episodes/348-Joe-Hudson--You-Can-Have-Ambition-And-Peace-e235ohp
#011: Robbie Crabtree – How To Communicate Like A Pro,_011__Robbie_Crabtree___How_To_Communicate_Like_A_Pro.txt,"I'm sorry, but I don't have the information about the guest star featured in that specific West Wing episode. However, if you provide me with the episode title or number, I might be able to help you better.","The challenge from this episode is to watch the mentioned West Wing episode where President Bartlett gives a speech after the bombing at Kennesaw State (Season 4). Pay attention to the tone, volume, and the way he delivers an inspirational message. Then, try to apply those techniques in your own public speaking or communication to create a more powerful and emotional connection with your audience.",https://podcasters.spotify.com/pod/show/dannymiranda/episodes/011-Robbie-Crabtree--How-To-Communicate-Like-A-Pro-e1io1v9
#039: Gary Vaynerchuk – Inside The Mind of Gary Vee,_039__Gary_Vaynerchuk___Inside_The_Mind_of_Gary_Vee.txt,The guest featured in this particular episode is Gary Vaynerchuk.,"There isn't a specific challenge mentioned in the provided context from this episode. However, you can take away some key points and create your own challenge based on them. For example, you could challenge yourself to practice gratitude, focus on the positive aspects of life, and work on turning negative comments or feedback into opportunities for growth and empathy. Additionally, you could try to improve your communication skills and engage with others in a meaningful way, just like the host did to get Gary Vaynerchuk's attention.",https://podcasters.spotify.com/pod/show/dannymiranda/episodes/039-Gary-Vaynerchuk--Inside-The-Mind-of-Gary-Vee-e1io1ur
#347: Chifftie – The Blueprint To Work For Your Favorite Creator,_347__Chifftie___The_Blueprint_To_Work_For_Your_Favorite_Creator.txt,"The guest featured in this particular episode is Shifty, a talented video editor who works for the Flagrant Podcast and has edited many of Andrew Schultz's best performing clips.","The challenge from this episode is to create one thing today. It could be a doodle, dinner, potting a plant, or anything creative that wouldn't have happened if you weren't here. The idea is that by creating something, you'll feel a little better afterward.",https://podcasters.spotify.com/pod/show/dannymiranda/episodes/347-Chifftie--The-Blueprint-To-Work-For-Your-Favorite-Creator-e231krs
